station_a,station_b,direct_train_count
NDLS,NZM,9
NDLS,SDAH,16
NDLS,SBC,6
NDLS,YPR,6
NDLS,SC,14
NDLS,VGLJ,23
NDLS,PNBE,24
NDLS,PPTA,4
NDLS,RNC,6
NDLS,TATA,14
NDLS,SVDK,7
NDLS,ST,14
NDLS,RJT,32
NDLS,PUNE,15
NDLS,NGP,16
NDLS,UBL,9
NDLS,TVC,9
NDLS,PURI,7
NDLS,R,10
NDLS,VSKP,4
DLI,NZM,4
DLI,MMCT,4
DLI,LTT,7
DLI,HWH,4
DLI,SDAH,8
DLI,SBC,3
DLI,YPR,4
DLI,MAS,10
DLI,MS,5
DLI,HYB,5
DLI,SC,7
DLI,LKO,4
DLI,GKP,4
DLI,VGLJ,7
DLI,PNBE,3
DLI,RNC,2
DLI,TATA,7
DLI,FZR,10
DLI,JAT,3
DLI,SVDK,2
DLI,JP,9
DLI,KOTA,4
DLI,INDB,34
DLI,GWL,4
DLI,ST,7
DLI,RJT,2
DLI,PUNE,9
DLI,NGP,3
DLI,MAO,3
DLI,MYS,7
DLI,UBL,1
DLI,TVC,2
DLI,ERS,7
DLI,MDU,9
DLI,PURI,1
DLI,R,6
DLI,VSKP,2
DLI,GHY,4
NZM,SDAH,33
NZM,SBC,5
NZM,YPR,3
NZM,SC,9
NZM,VGLJ,7
NZM,PNBE,4
NZM,RNC,3
NZM,TATA,5
NZM,SVDK,2
NZM,ST,9
NZM,RJT,3
NZM,PUNE,7
NZM,UBL,5
NZM,TVC,5
NZM,PURI,4
NZM,R,5
NZM,VSKP,2
ANVT,MMCT,6
ANVT,CSMT,5
ANVT,BDTS,9
ANVT,LTT,34
ANVT,HWH,4
ANVT,SDAH,12
ANVT,SBC,5
ANVT,YPR,6
ANVT,MAS,8
ANVT,MS,5
ANVT,HYB,5
ANVT,SC,9
ANVT,LKO,4
ANVT,CNB,9
ANVT,BSB,8
ANVT,AY,6
ANVT,GKP,9
ANVT,VGLJ,11
ANVT,PNBE,10
ANVT,RNC,7
ANVT,TATA,6
ANVT,CDG,8
ANVT,ASR,32
ANVT,FZR,7
ANVT,JAT,7
ANVT,SVDK,6
ANVT,JP,6
ANVT,KOTA,5
ANVT,BPL,4
ANVT,INDB,7
ANVT,GWL,8
ANVT,ST,10
ANVT,BRC,3
ANVT,RJT,9
ANVT,PUNE,12
ANVT,NGP,7
ANVT,MAO,11
ANVT,MYS,33
ANVT,UBL,4
ANVT,TVC,8
ANVT,ERS,35
ANVT,CLT,2
ANVT,CBE,11
ANVT,MDU,9
ANVT,BBS,3
ANVT,PURI,3
ANVT,R,7
ANVT,BSP,2
ANVT,VSKP,12
ANVT,BZA,7
ANVT,GHY,8
MMCT,SDAH,6
MMCT,SBC,3
MMCT,YPR,3
MMCT,MS,3
MMCT,SC,6
MMCT,VGLJ,4
MMCT,PNBE,4
MMCT,RNC,2
MMCT,TATA,5
MMCT,SVDK,3
MMCT,ST,12
MMCT,RJT,2
MMCT,PUNE,8
MMCT,NGP,2
MMCT,MYS,6
MMCT,UBL,5
MMCT,TVC,1
MMCT,PURI,3
MMCT,R,5
MMCT,VSKP,2
CSMT,LTT,3
CSMT,HWH,2
CSMT,SDAH,6
CSMT,SBC,3
CSMT,YPR,3
CSMT,MAS,5
CSMT,MS,2
CSMT,HYB,4
CSMT,SC,8
CSMT,LKO,3
CSMT,GKP,2
CSMT,VGLJ,10
CSMT,PNBE,4
CSMT,RNC,3
CSMT,TATA,6
CSMT,FZR,7
CSMT,JAT,3
CSMT,SVDK,3
CSMT,JP,6
CSMT,KOTA,3
CSMT,INDB,6
CSMT,GWL,2
CSMT,ST,5
CSMT,RJT,3
CSMT,PUNE,9
CSMT,NGP,4
CSMT,MAO,4
CSMT,MYS,6
CSMT,UBL,2
CSMT,TVC,3
CSMT,ERS,5
CSMT,MDU,5
CSMT,PURI,4
CSMT,R,34
CSMT,VSKP,2
CSMT,GHY,6
BDTS,LTT,8
BDTS,HWH,5
BDTS,SDAH,10
BDTS,SBC,4
BDTS,YPR,8
BDTS,MAS,10
BDTS,MS,5
BDTS,HYB,34
BDTS,SC,9
BDTS,LKO,8
BDTS,CNB,4
BDTS,BSB,13
BDTS,GKP,6
BDTS,VGLJ,12
BDTS,PNBE,6
BDTS,RNC,8
BDTS,TATA,6
BDTS,CDG,4
BDTS,FZR,36
BDTS,JAT,7
BDTS,SVDK,7
BDTS,JP,11
BDTS,KOTA,4
BDTS,BPL,4
BDTS,INDB,34
BDTS,GWL,3
BDTS,ST,6
BDTS,BRC,7
BDTS,RJT,4
BDTS,PUNE,8
BDTS,NGP,9
BDTS,MAO,7
BDTS,MYS,13
BDTS,UBL,2
BDTS,TVC,6
BDTS,ERS,10
BDTS,CLT,4
BDTS,CBE,7
BDTS,MDU,11
BDTS,PURI,3
BDTS,R,4
BDTS,BSP,30
BDTS,VSKP,3
BDTS,BZA,11
BDTS,GHY,2
LTT,SDAH,5
LTT,SBC,3
LTT,YPR,2
LTT,MAS,5
LTT,MS,3
LTT,SC,8
LTT,VGLJ,9
