station_a,station_b,train_before,train_after,headway_minutes
NDLS,NZM,15088,15200,120.0
NDLS,NZM,15200,16723,465.0
NDLS,NZM,16723,15219,120.0
NDLS,NZM,15219,16739,0.0
NDLS,NZM,16739,16684,15.0
NDLS,NZM,16684,15238,510.0
NDLS,NZM,15238,15127,75.0
NDLS,NZM,15127,15143,120.0
NDLS,SDAH,15128,16704,0.0
NDLS,SDAH,16704,15089,195.0
NDLS,SDAH,15089,15257,120.0
NDLS,SDAH,15257,15561,0.0
NDLS,SDAH,15561,16691,270.0
NDLS,SDAH,16691,16723,0.0
NDLS,SDAH,16723,12314,135.0
NDLS,SDAH,12314,15108,0.0
NDLS,SDAH,15108,16724,0.0
NDLS,SDAH,16724,15580,120.0
NDLS,SDAH,15580,16685,75.0
NDLS,SDAH,16685,15095,390.0
NDLS,SDAH,15095,15127,0.0
NDLS,SDAH,15127,15599,120.0
NDLS,SBC,15096,15120,0.0
NDLS,SBC,15120,15618,510.0
NDLS,SBC,15618,16692,210.0
NDLS,SBC,16692,16716,0.0
NDLS,SBC,16716,15637,315.0
NDLS,YPR,15112,15656,120.0
NDLS,YPR,15656,15097,75.0
NDLS,YPR,15097,15675,510.0
NDLS,YPR,15675,16708,15.0
NDLS,YPR,16708,16693,195.0
NDLS,SC,15129,15137,0.0
NDLS,SC,15137,16697,0.0
NDLS,SC,16697,16706,195.0
NDLS,SC,16706,15091,195.0
NDLS,SC,15091,15827,120.0
NDLS,SC,15827,12724,15.0
NDLS,SC,12724,15101,195.0
NDLS,SC,15101,16725,0.0
NDLS,SC,16725,16733,0.0
NDLS,SC,16733,15110,195.0
NDLS,SC,15110,15846,120.0
NDLS,SC,15846,16687,75.0
NDLS,VGLJ,15112,15089,195.0
NDLS,VGLJ,15089,16689,0.0
NDLS,VGLJ,16689,16017,120.0
NDLS,VGLJ,16017,15162,195.0
NDLS,VGLJ,15162,16074,0.0
NDLS,VGLJ,16074,15107,75.0
NDLS,VGLJ,15107,15131,0.0
NDLS,VGLJ,15131,15827,120.0
NDLS,VGLJ,15827,12002,15.0
NDLS,VGLJ,12002,12137,0.0
NDLS,VGLJ,12137,12138,0.0
NDLS,VGLJ,12138,12626,0.0
NDLS,VGLJ,12626,12724,0.0
NDLS,VGLJ,12724,16708,0.0
NDLS,VGLJ,16708,15093,195.0
NDLS,VGLJ,15093,16685,0.0
NDLS,VGLJ,16685,16703,390.0
NDLS,VGLJ,16703,16727,0.0
NDLS,VGLJ,16727,16055,120.0
NDLS,PNBE,16704,16112,120.0
NDLS,PNBE,16112,15138,270.0
NDLS,PNBE,15138,12274,330.0
NDLS,PNBE,12274,12302,0.0
NDLS,PNBE,12302,12304,0.0
NDLS,PNBE,12304,12306,0.0
NDLS,PNBE,12306,12310,0.0
