TOTAL NON-UNDERLINED TRAINS (537 TRAINS):
================================================================================

001. Train 12301 | HOWRAH RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: HWH -> NDLS
002. Train 12302 | HOWRAH RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: NDLS -> HWH
003. Train 12305 | HOWRAH RAJDHANI EXPRESS (VIA PATNA) | Category: PREMIUM RAJDHANI | Route: HWH -> NDLS
004. Train 12306 | HOWRAH RAJDHANI EXPRESS (VIA PATNA) | Category: PREMIUM RAJDHANI | Route: NDLS -> HWH
005. Train 12309 | PATNA TEJAS RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: PNBE -> NDLS
006. Train 12310 | PATNA TEJAS RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: NDLS -> PNBE
007. Train 12313 | SEALDAH RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: SDAH -> NDLS
008. Train 12314 | SEALDAH RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: NDLS -> SDAH
009. Train 12423 | DIBRUGARH RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: GHY -> NDLS
010. Train 12424 | DIBRUGARH RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: NDLS -> GHY
011. Train 20501 | AGARTALA TEJAS RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: AGTL -> NDLS
012. Train 20502 | AGARTALA TEJAS RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: NDLS -> AGTL
013. Train 12951 | MUMBAI RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: NDLS -> MMCT
014. Train 12952 | MUMBAI AUGUST KRANTI EXPRESS | Category: PREMIUM RAJDHANI | Route: MMCT -> NDLS
015. Train 12953 | AUGUST KRANTI RAJDHANI | Category: PREMIUM RAJDHANI | Route: MMCT -> NZM
016. Train 12954 | AUGUST KRANTI RAJDHANI | Category: PREMIUM RAJDHANI | Route: NZM -> MMCT
017. Train 12425 | JAMMU RAJDHANI EXPRESS | Category: PREMIUM RAJDHANI | Route: NDLS -> JAT
