Train Number,Train Name,Category,Origin Station,Origin City,Destination Station,Destination City,Departure Time,Arrival Time,Duration,Running Days,Ordered Route Sequence (routeStations),Corridor Density Multiplier,Available Classes
12952,MUMBAI AUGUST EXPRESS,PREMIUM EXPRESS,NDLS,New Delhi,MMCT,Mumbai Central,02:15,16:30,14h 15m,M T W T F S S,"NDLS, KOTA, RTM, BRC, ST, MMCT",3.5,"3A, 2A, 1A"
22210,DURONTO EXPRESS,DURONTO,NDLS,New Delhi,MMCT,Mumbai Central,03:40,17:15,13h 35m,M - W - F - -,"NDLS, RTM, BRC, MMCT",3.0,"3A, 2A, 1A"
12432,TRIVANDRUM RAJDHANI,PREMIUM EXPRESS,NDLS,New Delhi,MMCT,Mumbai Central,05:10,20:30,15h 20m,M - W T - - S,"NDLS, KOTA, BRC, ST, BSR, MAO, ERS, TVC, MMCT",3.2,"3A, 2A, 1A"
12138,PUNJAB MAIL,SUPERFAST,NDLS,New Delhi,CSMT,Mumbai CSMT,05:15,07:35,26h 20m,M T W T F S S,"NDLS, AGC, VGLJ, BPL, BSL, CSMT",2.5,"SL, 3A, 2A"
12128,PUNE INTERCITY EXPRESS,INTERCITY,PUNE,Pune Junction,CSMT,Mumbai CSMT,05:55,09:05,3h 10m,M T W T F S S,"PUNE, LNL, KAD, DR, CSMT",1.0,"CC, 2S"
22436,VANDE BHARAT EXPRESS,VANDE BHARAT,NDLS,New Delhi,BSB,Varanasi Junction,06:00,14:00,8h 00m,M T W - F S S,"NDLS, CNB, PRYJ, BSB",3.8,"CC, EC"
20901,ADI VANDE BHARAT,VANDE BHARAT,MMCT,Mumbai Central,ADI,Ahmedabad Junction,06:00,11:25,5h 25m,M T W T F S -,"MMCT, ST, BRC, ADI",2.2,"CC, EC"
20607,SBC VANDE BHARAT,VANDE BHARAT,MAS,Chennai Central,SBC,KSR Bengaluru,05:50,10:25,4h 35m,M - W T F S S,"MAS, KPD, JTJ, SBC",2.0,"CC, EC"
12002,BHOPAL SHATABDI EXPRESS,SHATABDI,NDLS,New Delhi,RKMP,Rani Kamlapati,06:00,14:05,8h 05m,M T W T F S S,"NDLS, AGC, GWL, VGLJ, RKMP",2.8,"CC, EC"
12004,LKO SHATABDI EXPRESS,SHATABDI,NDLS,New Delhi,LKO,Lucknow Junction,06:10,12:40,6h 30m,M T W T F S S,"NDLS, GZB, CNB, LKO",3.2,"CC, EC"
12953,AUGUST KRANTI RAJDHANI,PREMIUM EXPRESS,NDLS,New Delhi,MMCT,Mumbai Central,07:55,00:00,16h 05m,M T W T F S S,"NDLS, KOTA, RTM, BRC, ST, MMCT",3.5,"3A, 2A, 1A"
12472,SWARAJ EXPRESS,SUPERFAST,NDLS,New Delhi,BDTS,Mumbai Bandra,08:40,06:10,21h 30m,- T W - F S -,"NDLS, KOTA, RTM, BRC, BDTS",2.4,"SL, 3A, 2A"
12926,PASCHIM EXPRESS,SUPERFAST,NDLS,New Delhi,MMCT,Mumbai Central,10:00,09:25,23h 25m,M T W T F S S,"NDLS, KOTA, RTM, BRC, MMCT",2.5,"SL, 3A, 2A"
